% function evaluation | noise-free fitness - Fopt (7,135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1,439376722e+02 +1,439376722e+02 +2,152876722e+02 +2,152876722e+02 +4,0753e+00 -1,6807e+00 +3,6530e+00 -1,6106e+00 +2,6072e+00 +3,2974e+00 +4,6608e+00 +4,4012e+00 +1,1201e-02 -3,3801e+00
2 +7,946996262e+01 +7,946996262e+01 +1,508199626e+02 +1,508199626e+02 +2,1433e+00 +2,3268e+00 +2,8004e+00 -3,1637e-01 +3,3574e+00 -2,4874e+00 -1,4800e+00 -1,8557e+00 +1,1307e-01 +1,4828e-01
3 +2,158090798e+01 +2,158090798e+01 +9,293090798e+01 +9,293090798e+01 -4,9819e+00 +1,9725e+00 -2,4807e+00 +2,1412e+00 +2,8676e+00 -2,3983e+00 -4,3285e+00 +4,9919e+00 -1,4691e+00 -1,5111e-01
1977 +1,070675346e+01 +1,070675346e+01 +8,205675346e+01 +8,205675346e+01 -3,9216e+00 -3,0178e+00 +1,7413e+00 -4,5265e+00 -1,9868e+00 +3,2560e+00 +3,4011e+00 -3,5530e+00 -1,0513e+00 -4,6719e+00
3339 +9,179983835e+00 +9,179983835e+00 +8,052998383e+01 +8,052998383e+01 -3,9216e+00 -3,0178e+00 +1,8619e+00 -4,5265e+00 -1,8312e+00 +2,9693e+00 +3,4011e+00 -3,3131e+00 -1,0513e+00 -4,6719e+00
3946 +6,214749803e+00 +6,214749803e+00 +7,756474980e+01 +7,756474980e+01 -3,9216e+00 -3,0178e+00 +1,7413e+00 -4,5265e+00 -1,9868e+00 +3,0441e+00 +3,4011e+00 -3,3131e+00 -8,9447e-01 -4,4999e+00
5302 +3,430572924e+00 +3,430572924e+00 +7,478057292e+01 +7,478057292e+01 -3,9216e+00 -3,0178e+00 +1,9298e+00 -4,5265e+00 -2,2927e+00 +2,9693e+00 +3,4011e+00 -3,5530e+00 -8,9447e-01 -4,6719e+00
6010 +1,847989657e+00 +1,847989657e+00 +7,319798966e+01 +7,319798966e+01 -3,9216e+00 -3,0178e+00 +1,9298e+00 -4,5265e+00 -2,3148e+00 +2,9693e+00 +3,4011e+00 -3,4262e+00 -8,9447e-01 -4,4999e+00
7452 +1,553125975e+00 +1,553125975e+00 +7,290312598e+01 +7,290312598e+01 -3,9216e+00 -3,0178e+00 +1,9298e+00 -4,4126e+00 -2,2937e+00 +2,9693e+00 +3,5832e+00 -3,3131e+00 -8,9447e-01 -4,2766e+00
13695 +8,974751485e-01 +8,974751485e-01 +7,224747515e+01 +7,224747515e+01 -4,1418e+00 -3,0178e+00 +1,8945e+00 -4,3855e+00 -2,4177e+00 +2,7679e+00 +3,6789e+00 -3,1229e+00 -8,9447e-01 -4,1245e+00
20107 +6,269357673e-01 +6,269357673e-01 +7,197693577e+01 +7,197693577e+01 -4,0021e+00 -2,9127e+00 +1,8473e+00 -4,2548e+00 -2,2927e+00 +2,6583e+00 +3,8665e+00 -3,1384e+00 -7,4868e-01 -4,1158e+00
28718 +3,957924110e-01 +3,957924110e-01 +7,174579241e+01 +7,174579241e+01 -3,9169e+00 -2,9890e+00 +1,8171e+00 -4,2548e+00 -2,4713e+00 +2,6583e+00 +3,9719e+00 -2,9719e+00 -7,4868e-01 -4,0294e+00
