% function evaluation | noise-free fitness - Fopt (-2,098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3,447587578e+07 +3,447587578e+07 +3,447566590e+07 +3,447566590e+07 -2,1143e+00 +1,9252e+00 +4,8426e+00 -1,7299e+00 -2,3894e+00 +4,8544e+00 -1,4036e+00 -4,7090e+00 -2,3751e+00 -3,4553e+00
2 +3,296834707e+06 +3,296834707e+06 +3,296624827e+06 +3,296624827e+06 +2,8035e+00 -3,4459e+00 -2,6523e+00 +3,4263e+00 -4,3465e+00 -2,3048e+00 -1,1800e+00 +4,8864e+00 -1,2733e+00 +3,9509e+00
4 +1,131300792e+06 +1,131300792e+06 +1,131090912e+06 +1,131090912e+06 -5,4176e-01 +3,6199e+00 +2,3159e+00 +3,7789e-01 +2,0649e+00 +1,0243e+00 -7,3556e-01 +2,2879e+00 -2,8083e+00 +2,4143e+00
7 +4,371066915e+05 +4,371066915e+05 +4,368968115e+05 +4,368968115e+05 -5,4176e-01 -3,4459e+00 +2,3159e+00 +3,4263e+00 +2,2315e+00 +1,0243e+00 -7,3556e-01 +2,2879e+00 -1,2733e+00 +2,4143e+00
33 +3,132045109e+05 +3,132045109e+05 +3,129946309e+05 +3,129946309e+05 +2,8035e+00 -3,4459e+00 -2,6523e+00 +3,7789e-01 +2,2315e+00 +1,0243e+00 -1,1800e+00 +1,7456e+00 -1,2733e+00 +2,4143e+00
74 +2,060509324e+05 +2,060509324e+05 +2,058410524e+05 +2,058410524e+05 -5,4176e-01 +3,4713e+00 -2,7703e+00 +3,4263e+00 +2,3971e+00 +1,0321e+00 +1,1808e+00 +1,7456e+00 -1,2733e+00 +2,4143e+00
91 +8,304285613e+04 +8,304285613e+04 +8,283297613e+04 +8,283297613e+04 -5,0996e-01 +3,4713e+00 +2,0960e+00 +3,4263e+00 +2,3971e+00 +1,0321e+00 +1,1808e+00 +4,6950e-01 -1,2733e+00 +2,4143e+00
147 +2,621065866e+04 +2,621065866e+04 +2,600077866e+04 +2,600077866e+04 -5,0996e-01 +3,4713e+00 +2,0960e+00 +3,4263e+00 +2,2385e+00 +1,6178e+00 +1,1808e+00 +1,0410e-01 -1,2733e+00 +2,6281e+00
173 +1,363598359e+04 +1,363598359e+04 +1,342610359e+04 +1,342610359e+04 -5,0996e-01 +3,4713e+00 +2,0960e+00 +3,4263e+00 +2,2385e+00 +1,6178e+00 +1,9015e+00 +1,0410e-01 -1,2733e+00 +2,6281e+00
210 +4,882522905e+03 +4,882522905e+03 +4,672642905e+03 +4,672642905e+03 -5,0996e-01 +3,4713e+00 +2,0960e+00 +3,4263e+00 +2,2385e+00 +2,6924e+00 +1,9015e+00 +1,0410e-01 -1,1430e+00 +2,6281e+00
234 +3,104351089e+03 +3,104351089e+03 +2,894471089e+03 +2,894471089e+03 -2,7895e-01 +3,4713e+00 +2,0960e+00 +3,4263e+00 +2,2385e+00 +2,6924e+00 +1,9015e+00 -6,8497e-02 -1,1430e+00 +2,6281e+00
271 +1,426735155e+03 +1,426735155e+03 +1,216855155e+03 +1,216855155e+03 -5,0996e-01 +3,4713e+00 +2,0960e+00 +3,4263e+00 +2,0401e+00 +2,6924e+00 +2,4810e+00 -6,8497e-02 -1,1430e+00 +2,6281e+00
